Scenario,Segment,Zone,NSE_Price,NSE_MWh,NSE_Pct
geo_optimistic,2,4,5400000,0.0,0.0
geo_optimistic,1,5,81000000,0.0,0.0
geo_optimistic,2,5,5400000,0.0,0.0
geo_optimistic,1,6,81000000,0.0,0.0
geo_optimistic,2,6,5400000,0.0,0.0
nuc_pessimistic,1,1,81000000,0.0,0.0
nuc_pessimistic,2,1,5400000,0.0,0.0
nuc_pessimistic,1,2,81000000,0.0,0.0
nuc_pessimistic,2,2,5400000,0.0,0.0
nuc_pessimistic,1,3,81000000,0.0,0.0
nuc_pessimistic,2,3,5400000,0.0,0.0
nuc_pessimistic,1,4,81000000,0.0,0.0
nuc_pessimistic,2,4,5400000,0.0,0.0
nuc_pessimistic,1,5,81000000,0.0,0.0
nuc_pessimistic,2,5,5400000,0.0,0.0
nuc_pessimistic,1,6,81000000,0.0,0.0
nuc_pessimistic,2,6,5400000,0.0,0.0
nuc_moderate,1,1,81000000,0.0,0.0
nuc_moderate,2,1,5400000,0.0,0.0
nuc_moderate,1,2,81000000,0.0,0.0
nuc_moderate,2,2,5400000,0.0,0.0
nuc_moderate,1,3,81000000,0.0,0.0
nuc_moderate,2,3,5400000,0.0,0.0
nuc_moderate,1,4,81000000,0.0,0.0
nuc_moderate,2,4,5400000,0.0,0.0
nuc_moderate,1,5,81000000,0.0,0.0
nuc_moderate,2,5,5400000,0.0,0.0
nuc_moderate,1,6,81000000,0.0,0.0
nuc_moderate,2,6,5400000,0.0,0.0
pessimistic_all,1,1,81000000,0.0,0.0
pessimistic_all,2,1,5400000,0.0,0.0
pessimistic_all,1,2,81000000,0.0,0.0
pessimistic_all,2,2,5400000,0.0,0.0
pessimistic_all,1,3,81000000,0.0,0.0
pessimistic_all,2,3,5400000,0.0,0.0
pessimistic_all,1,4,81000000,0.0,0.0
pessimistic_all,2,4,5400000,0.0,0.0
pessimistic_all,1,5,81000000,0.0,0.0
pessimistic_all,2,5,5400000,0.0,0.0
pessimistic_all,1,6,81000000,0.0,0.0
pessimistic_all,2,6,5400000,0.0,0.0
nuc_opt_bat_opt,1,1,81000000,0.0,0.0
nuc_opt_bat_opt,2,1,5400000,0.0,0.0
nuc_opt_bat_opt,1,2,81000000,0.0,0.0
nuc_opt_bat_opt,2,2,5400000,0.0,0.0
nuc_opt_bat_opt,1,3,81000000,0.0,0.0
nuc_opt_bat_opt,2,3,5400000,0.0,0.0
nuc_opt_bat_opt,1,4,81000000,0.0,0.0
nuc_opt_bat_opt,2,4,5400000,0.0,0.0
nuc_opt_bat_opt,1,5,81000000,0.0,0.0
nuc_opt_bat_opt,2,5,5400000,0.0,0.0
nuc_opt_bat_opt,1,6,81000000,0.0,0.0
nuc_opt_bat_opt,2,6,5400000,0.0,0.0
geo_pessimistic,1,1,81000000,0.0,0.0
geo_pessimistic,2,1,5400000,0.0,0.0
geo_pessimistic,1,2,81000000,0.0,0.0
geo_pessimistic,2,2,5400000,0.0,0.0
geo_pessimistic,1,3,81000000,0.0,0.0
geo_pessimistic,2,3,5400000,0.0,0.0
geo_pessimistic,1,4,81000000,0.0,0.0
geo_pessimistic,2,4,5400000,0.0,0.0
geo_pessimistic,1,5,81000000,0.0,0.0
geo_pessimistic,2,5,5400000,0.0,0.0
geo_pessimistic,1,6,81000000,0.0,0.0
geo_pessimistic,2,6,5400000,0.0,0.0
bat_pessimistic,1,1,81000000,0.0,0.0
bat_pessimistic,2,1,5400000,0.0,0.0
bat_pessimistic,1,2,81000000,0.0,0.0
bat_pessimistic,2,2,5400000,0.0,0.0
bat_pessimistic,1,3,81000000,0.0,0.0
bat_pessimistic,2,3,5400000,0.0,0.0
bat_pessimistic,1,4,81000000,0.0,0.0
bat_pessimistic,2,4,5400000,0.0,0.0
bat_pessimistic,1,5,81000000,0.0,0.0
bat_pessimistic,2,5,5400000,0.0,0.0
bat_pessimistic,1,6,81000000,0.0,0.0
bat_pessimistic,2,6,5400000,0.0,0.0
bat_moderate,1,1,81000000,0.0,0.0
bat_moderate,2,1,5400000,0.0,0.0
bat_moderate,1,2,81000000,0.0,0.0
bat_moderate,2,2,5400000,0.0,0.0
bat_moderate,1,3,81000000,0.0,0.0
bat_moderate,2,3,5400000,0.0,0.0
bat_moderate,1,4,81000000,0.0,0.0
bat_moderate,2,4,5400000,0.0,0.0
bat_moderate,1,5,81000000,0.0,0.0
bat_moderate,2,5,5400000,0.0,0.0
bat_moderate,1,6,81000000,0.0,0.0
bat_moderate,2,6,5400000,0.0,0.0
bat_optimistic,1,1,81000000,0.0,0.0
bat_optimistic,2,1,5400000,0.0,0.0
bat_optimistic,1,2,81000000,0.0,0.0
bat_optimistic,2,2,5400000,0.0,0.0
bat_optimistic,1,3,81000000,0.0,0.0
bat_optimistic,2,3,5400000,0.0,0.0
bat_optimistic,1,4,81000000,0.0,0.0
bat_optimistic,2,4,5400000,0.0,0.0
bat_optimistic,1,5,81000000,0.0,0.0
bat_optimistic,2,5,5400000,0.0,0.0
bat_optimistic,1,6,81000000,0.0,0.0
bat_optimistic,2,6,5400000,0.0,0.0
